"","square1","square2","square3","room","type_house","state","value","currency","dist"
"1154","29","15","7","1","","euro","66000","$","Holosiivsky"
"1155","128","80","19","4","","euro","250000","$","Podolsky"
"1156","58","31","9","2","","good","83000","$","Podolsky"
"1157","78","50","9","3","ukrainian_brick","euro","62000","$","Sviatoshynsky"
"1158","81","44","10","3","","euro","128000","$","Obolon"
"1159","195","106","23","3","ukrainian_brick","euro","820000","$","Pechersky"
"1160","46","13","17","1","monolyth_concrete","from_builders(planirovka)","46500","$","Darnitsky"
"1161","106","70","20","3","ukrainian_brick","from_builders(planirovka)","110000","$","Holosiivsky"
"1162","62","30","13","2","ukrainian_brick","from_builders(otdelka)","55000","$","Holosiivsky"
"1163","56","33.9","11-Mar","2","","good","85000","$","Pechersky"
"1164","56","31","11","2","","euro","68000","$","Darnitsky"
"1165","48","15","25","1","","euro","66500","$","Darnitsky"
"1166","62","45","8","3","","serious_repair_needed","37900","$","Sviatoshynsky"
"1167","77","46","9","3","panel","good","66800","$","Shevchenkovsky"
"1168","36","18","9","1","ukrainian_brick","euro","60000","$","Solomensky"
"1169","70","35","19","2","ukrainian_brick","euro","139000","$","Darnitsky"
"1170","50","15-Jun","23-Feb","1","ukrainian_brick","from_builders(planirovka)","120000","$","Pechersky"
"1171","57","17-Jun","22-Apr","1","ukrainian_brick","from_builders(planirovka)","120000","$","Pechersky"
"1172","74","42.7","5-Jul","2","monolyth_concrete","euro","280000","$","Pechersky"
"1173","65.3","33.8","20","2","before_revolution","euro","97000","$","Shevchenkovsky"
"1174","37","17","9","1","ukrainian_panel","from_builders(otdelka)","33000","$","Darnitsky"
"1175","45","19","11","1","monolyth_concrete","euro","94900","$","Pechersky"
"1176","58","32","10","2","Stalinka","euro","57000","$","Dneprovsky"
"1177","117","74","16","3","monolyth_concrete","from_builders(otdelka)","120000","$","Holosiivsky"
"1178","144","71","17","4","ukrainian_brick","good","290000","$","Pechersky"
"1179","138.2","59","38.3","4","","from_builders(planirovka)","215000","$","Shevchenkovsky"
"1180","60","20","31","2","Stalinka","euro","113000","$","Pechersky"
"1181","164","100","16","5","","euro","190000","$","Holosiivsky"
"1182","57","21","21","2","monolyth_concrete","euro","150000","$","Darnitsky"
"1183","43","30","10","1","monolyth_concrete","euro","145000","$","Pechersky"
"1184","86","36","30","2","ukrainian_brick","from_builders(otdelka)","170000","$","Shevchenkovsky"
"1185","122","78","12","4","","from_builders(otdelka)","98000","uah","Podolsky"
"1186","53","18","10","2","","euro","87000","$","Holosiivsky"
"1187","69","42","9","3","","euro","54000","$","Holosiivsky"
"1188","46","20","15","1","","euro","62000","$","Darnitsky"
"1189","100","62","15","3","","euro","87000","$","Darnitsky"
"1190","65","37","15","2","","euro","130000","$","Shevchenkovsky"
"1191","38","27","8","1","","euro","64500","$","Podolsky"
"1192","27","13-May","5-Mar","1","","good","29000","$","Sviatoshynsky"
"1193","80","42","12","2","","euro","119000","$","Pechersky"
"1194","73","50","9","3","","good","257700","$","Shevchenkovsky"
"1195","60","32","9","2","Stalinka","serious_repair_needed","129900","$","Podolsky"
"1196","153.5","94","18","4","","from_builders(planirovka)","244000","$","Pechersky"
"1197","81","49","15","3","ukrainian_brick","euro","98000","$","Sviatoshynsky"
"1198","77","45","15","2","monolyth_concrete","from_builders(planirovka)","63500","$","Holosiivsky"
"1199","58","34","9","2","old_brick","serious_repair_needed","97000","$","Pechersky"
"1200","66","32","11","2","monolyth_concrete","from_builders(otdelka)","90000","$","Shevchenkovsky"
"1201","75","44","11","3","before_revolution","good","120000","$","Shevchenkovsky"
"1202","70.9","41","7","3","ukrainian_brick","serious_repair_needed","61000","$","Holosiivsky"
"1203","130","84","11","4","","euro","585000","$","Pechersky"
"1204","42","13","18","1","","from_builders(otdelka)","42000","$","Holosiivsky"
"1205","58","40","8","3","ukrainian_brick","good","67000","$","Solomensky"
"1206","82","42","12","2","","euro","115000","$","Solomensky"
"1207","28","17","6","1","","good","23500","$","Obolon"
"1208","31","19","5","1","","satisfactory","23000","$","Podolsky"
"1209","140.9","77.6","14-Feb","3","ukrainian_brick","from_builders(otdelka)","95800","$","Holosiivsky"
"1210","230","115","31","4","before_revolution","euro","1500000","$","Pechersky"
"1211","68","40","10","3","","satisfactory","48000","$","Shevchenkovsky"
"1212","305","200","50","5","","euro","1100000","$","Obolon"
"1213","39","17","9","1","monolyth_concrete","from_builders(planirovka)","42000","$","Solomensky"
"1214","48","18","11","1","monolyth_concrete","from_builders(planirovka)","55000","$","Shevchenkovsky"
"1215","59","14","33","2","","euro","210000","$","Holosiivsky"
"1216","76.7","24-May","30-Jul","3","before_revolution","good","230000","$","Shevchenkovsky"
"1217","125","70","17","3","Stalinka","cosmetic_repair_needed","186000","$","Shevchenkovsky"
"1218","70.2","32.5","17-Mar","2","ukrainian_brick","from_builders(planirovka)","64500","$","Holosiivsky"
"1219","24","12","4","1","","good","24500","$","Sviatoshynsky"
"1220","47","34","8","2","panel","good","65000","$","Obolon"
"1221","56","41","7","2","","euro","139000","$","Pechersky"
"1222","163.1","61.7","33.6","4","","from_builders(planirovka)","275000","$","Shevchenkovsky"
"1223","246","113.4","54.9","5","","from_builders(planirovka)","515000","$","Shevchenkovsky"
"1224","155","66","31","4","ukrainian_brick","euro","250000","$","Podolsky"
"1225","203","105","33","4","ukrainian_brick","euro","285000","$","Shevchenkovsky"
"1226","228","118","18","4","monolyth_concrete","from_builders(planirovka)","920000","$","Pechersky"
"1227","240","78","25","4","Stalinka","good","580000","$","Pechersky"
"1228","152","40","24","3","monolyth_concrete","euro","599000","$","Dneprovsky"
"1229","326","180","38","5","ukrainian_brick","from_builders(otdelka)","730000","$","Pechersky"
"1230","93","68","9","2","","cosmetic_repair_needed","315000","$","Shevchenkovsky"
"1231","47","15","19","1","monolyth_concrete","from_builders(planirovka)","50000","$","Darnitsky"
"1232","96","51","15","3","ukrainian_brick","from_builders(planirovka)","130000","$","Obolon"
"1233","87","55","15","3","ukrainian_brick","euro","233000","$","Holosiivsky"
"1234","62","41","8-May","2","before_revolution","satisfactory","102000","$","Shevchenkovsky"
"1235","206","119","33","4","ukrainian_brick","euro","420000","$","Holosiivsky"
"1236","48","29","7","2","Stalinka","good","39950","$","Darnitsky"
"1237","38","17-Jan","6-Jul","1","","euro","38000","$","Sviatoshynsky"
"1238","39","18","9","1","","good","33000","$","Desniansky"
"1239","103.5","50","16","3","monolyth_concrete","from_builders(otdelka)","125000","$","Holosiivsky"
"1240","55","25","12","1","monolyth_concrete","euro","82900","$","Shevchenkovsky"
"1241","188","101","23","3","ukrainian_brick","euro","350000","$","Shevchenkovsky"
"1242","126","95","12","4","Stalinka","euro","214000","$","Shevchenkovsky"
"1243","140","73","21","3","ukrainian_brick","euro","330000","$","Pechersky"
"1244","38","17","14","1","ukrainian_brick","euro","64900","$","Shevchenkovsky"
"1245","172","98","17","4","ukrainian_brick","from_builders(planirovka)","340000","$","Shevchenkovsky"
"1246","93","51","16","3","old_brick","from_builders(otdelka)","74400","$","Shevchenkovsky"
"1247","514","200","50","4","","from_builders(planirovka)","2000000","$","Pechersky"
"1248","151","60","50","5","","from_builders(planirovka)","407700","$","Pechersky"
"1249","85","30","41","3","","good","234000","$","Holosiivsky"
"1250","42","20","13","1","ukrainian_brick","from_builders(planirovka)","50000","$","Holosiivsky"
"1251","150","75","40","3","","euro","290000","$","Pechersky"
"1252","40","16","10","1","","euro","52000","$","Darnitsky"
"1253","56","32","7","1","Stalinka","good","119000","$","Pechersky"
"1254","40","12-Mar","16-Mar","1","monolyth_concrete","euro","65000","uah","Solomensky"
"1255","41","26","7","2","panel","satisfactory","42500","$","Obolon"
"1256","64","33","10","2","monolyth_concrete","from_builders(otdelka)","59500","$","Shevchenkovsky"
"1257","96.5","60.6","17-Jan","3","before_revolution","cosmetic_repair_needed","140000","$","Shevchenkovsky"
"1258","68","41","8","3","panel","cosmetic_repair_needed","55000","$","Dneprovsky"
"1259","42","17","12","1","","from_builders(otdelka)","37500","$","Holosiivsky"
"1260","68","31","12","2","","from_builders(otdelka)","59900","$","Holosiivsky"
"1261","42","28","6","2","","satisfactory","37900","$","Solomensky"
"1262","26","17","6","1","monolyth_concrete","from_builders(otdelka)","28000","$","Holosiivsky"
"1263","117","50","36","3","","euro","149000","$","Darnitsky"
"1264","125","90","25","4","","euro","199000","$","Holosiivsky"
"1265","58","31","15","2","","euro","135000","$","Pechersky"
"1266","60.9","16-Mar","27","1","","from_builders(planirovka)","185000","$","Holosiivsky"
"1267","92","50","15","3","","euro","160000","$","Pechersky"
"1268","126","67","15","3","","euro","210000","$","Obolon"
"1269","42","16","13","1","ukrainian_brick","from_builders(planirovka)","38500","$","Darnitsky"
"1270","75","45","15","2","ukrainian_brick","from_builders(planirovka)","70000","$","Sviatoshynsky"
"1271","67","36.6","8-Apr","2","Stalinka","euro","87000","$","Pechersky"
"1272","91","46","14","3","ukrainian_brick","serious_repair_needed","150000","$","Obolon"
"1273","157","73","23","4","Stalinka","good","134000","$","Pechersky"
"1274","180","103.7","17-Feb","4","ukrainian_brick","from_builders(planirovka)","329000","$","Pechersky"
"1275","45","28","9","2","ukrainian_panel","good","56500","$","Dneprovsky"
"1276","75","47","10","3","ukrainian_brick","satisfactory","69000","$","Pechersky"
"1277","95","49","20","3","","from_builders(otdelka)","86990","$","Holosiivsky"
"1278","30","15","6","1","","serious_repair_needed","24500","$","Podolsky"
"1279","27","15","4","1","","good","29000","$","Shevchenkovsky"
"1280","72","42","8","3","","good","47000","$","Desniansky"
"1281","83","40","12","2","ukrainian_brick","from_builders(otdelka)","96000","$","Dneprovsky"
"1282","64","45","14","2","Stalinka","cosmetic_repair_needed","135000","$","Shevchenkovsky"
"1283","140","60","50","4","","euro","210000","$","Holosiivsky"
"1284","89","48","13","2","Stalinka","good","290000","$","Pechersky"
"1285","186","104","30","5","ukrainian_brick","repair_unfinished","240000","$","Obolon"
"1286","67","30","14","2","","good","63500","$","Darnitsky"
"1287","42","16","10","1","monolyth_concrete","from_builders(otdelka)","61500","$","Shevchenkovsky"
"1288","61","34","13","2","monolyth_concrete","euro","53000","$","Sviatoshynsky"
"1289","43","11","19","1","","from_builders(planirovka)","50000","$","Dneprovsky"
"1290","48","32","8","2","ukrainian_brick","cosmetic_repair_needed","35500","$","Desniansky"
"1291","69","49","7-Jan","3","","good","45000","$","Desniansky"
"1292","69","51","8","3","old_brick","good","72000","$","Obolon"
"1293","65","39","12","2","","good","145000","$","Pechersky"
"1294","96","51","15","2","","from_builders(planirovka)","130000","$","Obolon"
"1295","102","58.5","14-May","2","","euro","235000","$","Shevchenkovsky"
"1296","53","20","16","1","","from_builders(otdelka)","48000","$","Holosiivsky"
"1297","41","19","10","1","","from_builders(planirovka)","37000","$","Solomensky"
"1298","69","46","10","2","before_revolution","satisfactory","86000","$","Shevchenkovsky"
"1299","109","62","35","3","ukrainian_brick","euro","250000","$","Pechersky"
"1300","58","30","7","2","ukrainian_brick","good","59000","$","Solomensky"
"1301","53","31","8","2","Stalinka","euro","87000","$","Pechersky"
